job_title,location,job_id,job_url
Procurement Manager,"IT, TP, Torrazza ",1087340,https://www.amazon.jobs/en/jobs/1087340
Graduate Responsabile di Produzione - Area Manager - Leadership program ,"IT, TP, Torrazza ",1127834,https://www.amazon.jobs/en/jobs/1127834
Graduate Responsabile di Produzione - Area Manager - Leadership program ,"IT, TP, Torino ",1127819,https://www.amazon.jobs/en/jobs/1127819
 Graduate Responsabile di Produzione - Area Manager - Leadership program - North Italy,"IT, TP, Torrazza ",1029732,https://www.amazon.jobs/en/jobs/1029732
Team Leader - Reparto Stampaggio,"IT, Torrazza ",940851,https://www.amazon.jobs/en/jobs/940851
FC Lead - Part Time Notturno,"IT, TP, Torrazza ",934144,https://www.amazon.jobs/en/jobs/934144
Health and Safety Co-ordinator ,"IT, TP, Torrazza ",1098493,https://www.amazon.jobs/en/jobs/1098493
Operations intern,"IT, TP, Torrazza ",1090545,https://www.amazon.jobs/en/jobs/1090545
Senior HR Business Partner,"IT, TP, Torrazza ",824209,https://www.amazon.jobs/en/jobs/824209
HR Business Partner,"IT, TP, Torrazza ",824137,https://www.amazon.jobs/en/jobs/824137
